,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
167,167,929a48e0-c732-4692-a6f9-53fd4c70dafa,RANKED_SOLO_5x5,DIAMOND,II,mqBnEvLasvc4c6g64RHNCcke851Ek5OM-Ys0ie8r8BDctvk,서폿탓못하는사람,0,61,43,False,False,False,False,,PhZgSqnbTU7SK1hCG3w_zCpgqQnaYdJ8ryF6TGNPNXTN
168,168,c895df84-a6e3-4c36-aa32-69a44f221ada,RANKED_SOLO_5x5,DIAMOND,II,p9OCRDHOoZncg4kHzSZKlmbhegtGvlvSo2eN49bgPAezjMA,평캔조금합니다,100,138,138,False,False,False,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}",WckM96hGEPzlYWKopW4HBLXosvlCiedYiBQDARTm5uZd
169,169,4c84533a-b025-4b6a-b743-c019b05e8ff3,RANKED_SOLO_5x5,DIAMOND,II,EV0KlmLkls_Ol4GX_fw6xOtPRW9X5WqeCDufBlRhJpOezuY,심참새,0,204,135,False,False,False,False,,SQRGFjapp7ZoUSzrGcib7rj0b_G6c7GArQ0VE1bdQnzu
170,170,f4fec366-72ed-40bd-9ef2-d377f8b7bf4f,RANKED_SOLO_5x5,DIAMOND,II,OnKPOzc2IZCA6L0QZGWBLJvn-V-NAwGghKDgXl_1kBre3g4,탑안오면죽는사람,48,62,42,False,False,False,False,,WLvvSjJo9jmcHN5uAhSFIrnqQTnCMJVmwHKPjhWJtmqh
171,171,0cae9cfb-77b3-4a1b-9a20-004508d7b5a0,RANKED_SOLO_5x5,DIAMOND,II,VqttEjDQFueEQucJGUvZ4ifw_0ohFEctZ7YCUePlBfzpn30,Zhe shi tutou,57,101,72,False,False,False,True,,f7AgE2ZoRvzTFdBc8Zh5deIvm1VVhwD-FOaODW0HVTOs
172,172,85ea7a4e-8fd9-406c-aa23-185e591fcfac,RANKED_SOLO_5x5,DIAMOND,II,4wFHiz5BHRvmNWaZgc_65h5YnO6AHv71wXmNl4rDwphXhlU,rarf,18,268,252,False,False,False,True,,yg2Sz7gppWA64443cgx18-b2xR3fc0shhckT2WjeF5jr
173,173,5d8e774f-6668-4f7d-9137-d22bd2144a20,RANKED_SOLO_5x5,DIAMOND,II,WOuGC1zyR3MM60M_SWTo3l7FawEPnZBWCN0EX01r2eUu6x0,더 문,18,145,147,False,False,False,False,,P3vo9jn97KEFimFMjDB-olLVRMJAcC0D0468ROLSQVMl
174,174,e7aefa76-e905-46c3-b32a-87f71fa75bbf,RANKED_SOLO_5x5,DIAMOND,II,gxg28DQmLI8Xs78P1VlSeRSIfWdVLGaeT4J3ckhhWrNO32Q,오늘도 유난히,10,155,132,False,False,False,False,,pWlYGVdEfkRB69DT3WLtDmbpYIAOwagFPqvJwgHHmmd_
175,175,09941e4a-22be-4c4f-b04a-1254a4fd1630,RANKED_SOLO_5x5,DIAMOND,II,syPw8KvgOJFYdHuw9kOwMc5N4555bRxBRm7DksthnlgwWp8,하루 넷끼,14,115,85,False,False,False,False,,IpyaQe7NWP1nebJf4n-Oo3uY0qpQmAqBxgJy31nZfNrS
176,176,bf7caa5e-9807-427a-8576-d6cb085fa52a,RANKED_SOLO_5x5,DIAMOND,II,nbEGC-n9HZBlB4ECLbidfFg3Hcpgd0au2GZmCSbEYFuONcY,곰세마리가,19,82,71,False,False,False,False,,9ExWdIODZ-V7WBKTKNvqwakcmrxBUo8SsXEgLgFkRFbB
177,177,16951db8-282a-48ed-baf4-16e7359e3145,RANKED_SOLO_5x5,DIAMOND,II,GgPevroKmHlCBaxKri34v0nvfQqCEXPjZq4-Hi3wOMQAu6Y,출 곡,100,666,646,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 1, 'progress': 'WLN'}",DbZi-vH3MiJW5VnIVvsqnyHjXjghSstQFD78tv4c-UkP
178,178,37973505-df45-4a85-8187-32660a5002f6,RANKED_SOLO_5x5,DIAMOND,II,JROasYkjo2bMzocm0K1hBAmWeeUFNkU99aLLTJ50ptueJyk,공익기피자,64,115,56,False,False,False,False,,iapnvZHneZsopibJ80LLXvYOm_MJiWq1ZcJTHO1j4OWf
179,179,11f93d49-cb5f-4777-9626-00701a9aa772,RANKED_SOLO_5x5,DIAMOND,II,TJT6_RRQFCN6ZV_nYv3ZXCai3V_YEGjdK7DBVVCjzFs0x-8,나는화안났어,31,246,238,False,False,False,False,,xH_FGPscwlDK-DbAnRCiBLR6NpVeeDWxiRtREzugezUk
180,180,379d36d2-6e1b-4d93-9ac9-15758bd94a2f,RANKED_SOLO_5x5,DIAMOND,II,kscv8AD-i3kvlhAGJ8-rjTjYrOU-KXFA4Be4szMh6iRAQes,Lrene IN Kayle,42,84,62,False,False,False,False,,Kp8C0-Arxv_iTpLsID8sisla914BRrnDeiaRbVU-6Qoy
181,181,da0ef17d-92d6-49b4-af37-bb6212f24997,RANKED_SOLO_5x5,DIAMOND,II,mDHl4Fx4lcbBwDDOxWw2UufRRv-eNGiHn-fKoB5NTPT1H48,앗 더워,34,162,128,False,False,False,False,,SlqJGjlfKqmwXK_ESYQz2FHtmCZIYYZF4EJNmocmLA-r
182,182,12ac46bd-3d50-4b09-a323-2ad63c969b00,RANKED_SOLO_5x5,DIAMOND,II,SGpZM4NkBJG-PwLEZTfh28PcVLrc-h7AEG8MiEunm_3FY8M,GRF 망함,9,76,64,False,False,False,False,,tVKFw6OXywihFKDGXgdviXXY71g3hTjsqQGvZfxD58d8
183,183,3e03d448-d374-4660-9320-3fd0e130b96b,RANKED_SOLO_5x5,DIAMOND,II,bq05LqQB03K6h8is8zMVdihy2rylu7fL4wAAof7u8lZKlXg,저자를매우철학,50,92,97,False,False,False,False,,dzO8YP8xBnd59bTu0M1z72cpQYG-alIGNWbVU0uIX3-L
184,184,e92174a5-1e35-4ca1-a561-e6eb079b8ebd,RANKED_SOLO_5x5,DIAMOND,II,BPH1ve_bg8f3L1xaSVFQa8MUgz8dfcTcKp6CeOBDqxqTBT8,순 채,0,73,63,False,False,False,False,,wHmCnJddhsnTgbdi7sbbsqOQtJDWLQTT4DrpBiFOdR32
185,185,6287ed19-37f2-4df7-b2bb-49820216ebca,RANKED_SOLO_5x5,DIAMOND,II,fLi1dHL29U4aEEboJhSOeKJ78RSVwLT-8hR7phDLCDHTOiY,럼블강림,17,103,90,False,False,False,False,,kyEyUuR1HAo5HIUcWfoKSjaVdkDDb4Bf6Nx_7wO0aKBG
186,186,2a6c9159-f05a-48c7-a421-6ea59f27d832,RANKED_SOLO_5x5,DIAMOND,II,QfGptIuFgkJj2iWRE_wHeikHM-hoTtOBy7t4LpTDfOFpwNM,smis69,49,137,131,False,False,False,False,,-3-axbGpb15IUMJ1eikdPVol5v2fDahgGi2CkDc5Yilv
187,187,4e3603ca-533c-48aa-b6e0-b12d780b6a2c,RANKED_SOLO_5x5,DIAMOND,II,gVsobhEL02BMab0N6HJj1fEyFO3TQfZC1wZBcYV1FV2aThI,사이드 무빙,0,483,466,False,False,False,False,,7vr4_3vZWFowAybWsTw4ktxym4dMd-qDoxCEc7r2dliA
188,188,a460224f-7292-493d-861a-3ddbe45efae6,RANKED_SOLO_5x5,DIAMOND,II,h4kwY1Ty2Xg9MbTAX1X-ldGQNibhBEaCX_upc08BhHCx2ok,내가잘하면안진다,62,103,79,False,False,False,False,,jFduwaR8-orzLu1zrXF1cYm_XmyimKgf6j8UFnCotbbu
189,189,020b2db1-36f7-496b-b278-226de809fa09,RANKED_SOLO_5x5,DIAMOND,II,XzqbDLH5AcGrAI1MduPxB4dFZlUqnlY07JfiI2LZkZ9iX48,N0 P4in N0 Gain,25,75,80,False,False,False,False,,o7D4a-DEq3NP0BZIxV7_zHEyvuz4kGEY1Bm_ifsB9yXE
190,190,1a713c76-0466-457b-8031-b66b1d865508,RANKED_SOLO_5x5,DIAMOND,II,keS8vUWYJvljskODnE_5-ayOA-VcDqoVPHVdAIsI2DuEcKg,진동아귀,46,99,79,False,False,False,False,,lGa1_t-wINkv_eH1YE2R2Auqsx8_lZ3_atGeIOrYCkPR
191,191,4016cab7-c050-4d47-8396-23052f705060,RANKED_SOLO_5x5,DIAMOND,II,sWs6Cawl6d61zIZ95LURRXbRwt1XO1nxkuBtMI4AR8F5ioE,0012345,100,157,147,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}",YTIMSVQ3X3geHr8hrpxv6jnsTeOcqIc8307ymAozebB0
192,192,72e0f10e-8e40-4532-bf23-df33f4a4f50d,RANKED_SOLO_5x5,DIAMOND,II,zpdKb4Jv0_6l317bLiKJ4DjE6J7V1DIxGWlh0qEJZ2M4exQ,섹시 흥분 태호,44,50,29,False,False,False,False,,OnehwELL_CjW3w9oFrCfIbVloqchRJHmr0T4E0yKaSIz
