,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
133,133,f250b2ff-09c3-4184-a964-afa44e89d2c9,RANKED_SOLO_5x5,GOLD,I,bAfBi4x1xRKOgEpyZC4KFtW85nDwGZVnsD8qZAVS0KhcqLw,무빙은사치다,100,169,158,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",3N1rg-DhCoi61SGFLOQ0gFIY0T75UbjbUjTx2vMeffjy
134,134,b450ae42-ee81-48b8-8392-42215d0d6a6e,RANKED_SOLO_5x5,GOLD,I,cTJ3Yqq1Tap-RhpXBkcNz85t7uLv88vXOnr0HOmG5hiTjhI,시 무 륵,39,120,122,False,False,False,False,,U6Bzgj77AR2htbAJGl6EEywsiWu0-yTmE2fr26Rf7tTb
135,135,69315bac-0298-4d09-9404-0e3a9e170aa3,RANKED_SOLO_5x5,GOLD,I,FrPQdbGam-xZvCLocm1gzgXWYhqwEmH-Ie4KQ1kRDy4xPTU,BravoYourLife,39,101,90,False,False,False,False,,eSR8wOkFe_iabbzML2fxL7GWt85DFaE7IpuzTDvqfqeK
136,136,8933ab23-ec20-47a8-893f-096d60a155dd,RANKED_SOLO_5x5,GOLD,I,XqVbJvdOx9Cu-BaXOA3hC-bF4jyT5gBt4ioPunBuiofw69o,godb,13,101,100,False,False,False,False,,QRBXb224c7fMRBto3wvy1uNJKUI_lWQA6We2Epbx-Uiu
137,137,718108bb-4415-4c4f-aeae-a39f45433bb2,RANKED_SOLO_5x5,GOLD,I,6Rz7zqf_jvWb4vpibi97_l-Rvk_yPrUmfJXJxco13zs7060,벛 꽂,19,134,131,False,False,False,False,,zQTqYaHtcvWJ033cRSmuHaYHzZlSdfagav5sUIWwTyeQ
138,138,fcdb3a30-6b13-4b30-908f-d86d79a51513,RANKED_SOLO_5x5,GOLD,I,S5TEQo1cgYlOI88mS_X1eWiT2vX2J9v5azwcfo7b7BvC3E0,백호고개,14,53,87,False,False,False,False,,JPik254HHqoROJpSV1GyNqajgBI1waGjYVkPzMVH3WrA
139,139,90d44bcc-4823-413f-95ab-85e2eb875350,RANKED_SOLO_5x5,GOLD,I,YOLXVJU6PviuIvOYti7eBcu9NieC5_0rg5g-QmhHhZ4NbbE,SneakyBeakyLike,52,68,55,False,False,False,False,,s37x2hRjtKxASjn_acsCm3tXVumoJ5L7xDYOxClYqypd
140,140,bc9f84e2-be2f-48e4-b80b-25b809c0cf48,RANKED_SOLO_5x5,GOLD,I,SZ1Oy4peqvspsmo7BU0uDRqaa1gs7VWuv_KnIkH4SDYMgVk,발암 Shen,0,300,313,False,False,True,False,,xE6FdEPp5Xcjmzfp2pwd_z3xtdPXwVQl7eQOoeBC1zcr
141,141,2ead4d57-bf81-46c6-9039-adff0e4d60a6,RANKED_SOLO_5x5,GOLD,I,Erzoh4KvKHqGojVfpTIPejITRMzWJm8O2ctQ5NRGuuWsVyQ,엄태욱의지리는각,37,127,121,False,False,False,False,,
142,142,972afd3c-04aa-4eeb-9f82-0f38b42ed6ed,RANKED_SOLO_5x5,GOLD,I,QpBIs-Y-8bIf3x_UWIls7WgLFfCwNns2HVNJP_7qWqKzijk,Verlierer,20,39,38,False,False,False,False,,qYZMfJ-Nv4BV-2XOaFEhFAU1Y4thdYqOpfzOvB85nhdR
143,143,506b6564-98f7-4a18-b088-b3c315d9b711,RANKED_SOLO_5x5,GOLD,I,2xA0lcTeAsp-XFMdBxqCOZsrrPXerYzNA7RFOjQ5w_O-1To,딱콩을 쏘다보면,14,5,7,False,False,False,False,,pl5CxZOHKKqM2TWfDui9YvtitZmW0AiOy1P_tD5_QGR0
144,144,7df16f13-4f08-4cf9-a67f-5bda81ce92fd,RANKED_SOLO_5x5,GOLD,I,2Oe07173Jp3ssYGUdD-XDGSwX5DzGfJlW1oW1vvGy1zmZDQ,Time to go 첼,50,112,117,False,False,False,False,,PPLdx3jWbUyx0CMVFsSxU8ShYIVv8OTm2Hhg7NUy8sOq
145,145,ef1ff578-8d18-45b6-8bd3-3196cc4ea741,RANKED_SOLO_5x5,GOLD,I,4V9v472nr-ej2vTGbOH2tTnRZfiFH8BW2gaaLc8MtGYexxA,애니아빠티버지,63,23,24,False,False,False,False,,4_OmM_H5fZIi9jZHGwHD4vIu61SOEatAs8XObS12Xa4b
146,146,e2b2536b-3064-43d6-afba-bdeb2e0ff51d,RANKED_SOLO_5x5,GOLD,I,HXqn0TONEEoMUBAWYjGaa5r6eZjLXc6W5noeS406-PbAtuY,EnJoyMyPlay,73,37,36,False,False,False,False,,BpmizeMRvF98ZN5Ze5tVs75RqMbRQyzKNV16RbD-6Caz
147,147,96f6fd7e-1d86-46f1-a582-82773efe32d1,RANKED_SOLO_5x5,GOLD,I,1-qW7-u6H1Njq7zg6dk5QfgSv1wwnrXPnifaFm3V_6wPG4U,Klaus J,0,27,31,False,False,False,False,,FK1lUXzHNgoBI_xWoBb1Ehd_4h84l77ufJGLDr0xe4Av
148,148,6ff89023-23ac-4698-8293-fa1e511f7371,RANKED_SOLO_5x5,GOLD,I,SpMXXvfNwiHlc2SYAc5zf_OQ8odepXorwrQfN7iKN14e854,mm5yuh1,37,12,14,False,False,False,False,,4CWl4F0uPaG-tAhlBVsv9ovjY1WAuSGzUGw8dc0iecC2
149,149,c5cc271a-f794-4e22-8edd-ae62fe2cdbba,RANKED_SOLO_5x5,GOLD,I,kC-fS6Ojs4Wqn0qWqW_srh8mMRCQ9GxZAf4jFUrgBUF4pwQ,going to you,21,164,175,False,False,False,False,,quDKkmv-zP3uj8iP4YPBp5rw8UxZWzq-8skYSqqiVfBa
150,150,96608b31-f870-483e-acb0-e0fbfb9cb28a,RANKED_SOLO_5x5,GOLD,I,w4cCjDvPu7Wg7aWJ49npu6q1ZbPxR_hJGbbyndyzdXsUKqc,비트코인노래방,0,147,132,False,False,False,False,,mSQMgd1DIsfZ6Q9PCxlKKvrx3hQ5dscP9VKJ2fM7JBP0
151,151,f226d32e-e7fa-4682-97fd-cbe7ef661e49,RANKED_SOLO_5x5,GOLD,I,rswjCA_eR2jb1mA_68n6CF4oRo5WXhIoGT466rrkX_cuPIc,승 령,0,13,5,False,False,False,False,,CH8QTFqAkrpPa3Cd0v9uuP330XlR_pYjuJa0vuqE1-qU
152,152,6d6276e9-85ce-4409-963f-c6c915aaee90,RANKED_SOLO_5x5,GOLD,I,LPWIZ_hk_LhcZ7HXiayFu1oBdi2xDhCuvdqqDz-ok7z796A,give54,82,114,86,False,False,False,False,,7HrJ6iW9kKHIZo8bBvTWxr5TNXZZtFHTJxvq97h9hl7U
153,153,b0c31186-f118-4734-ad99-f3e008d3c612,RANKED_SOLO_5x5,GOLD,I,x4RhIptJu8ihrnhI0BlNHbzrWU0KVEI-_xM6f-yQcyKC-No,아맹고,81,45,42,False,False,False,False,,nweuoASczVSBr1HlfSISk08ijTJ2k0EV0ROGG-MHqgrZ
154,154,692f620c-a5b6-4330-bcb2-b83723a26418,RANKED_SOLO_5x5,GOLD,I,lx9O_HOrj7XbhisOXhDzCsl_rO1-bOO9GODvgm8eM0mrdCc,아듸사라짐,100,5,7,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",yaOYfIlmtgBnGnLhw63_TZXt6maQZLct30f7IyXsdxK4
155,155,0e4aa123-8a0c-44a0-948c-91485837441f,RANKED_SOLO_5x5,GOLD,I,TfJIcqJazEUCZVYSIIHPBn7bhZOzlu0Qy4JWtIE7_JBthtM,만 면,27,36,41,False,False,False,False,,PfDat7-jxIcntFl9oOf16mjk3ZiqQf1FXPO7QahjUHTQ
156,156,5e06988a-598d-47a7-9674-5d21196283d3,RANKED_SOLO_5x5,GOLD,I,1taBDrJL3aZTtkHRxbw1FBpFApJEFjsXVyxZRwlZyY94gDg,검동이,0,6,10,False,False,False,False,,-gAN2nxclK5x0Rll3cFFZOP2wFtSij5m9Kfm5VFjt24e
157,157,867e9bf1-1e45-456c-91c7-d77c230d7554,RANKED_SOLO_5x5,GOLD,I,pucuahMHDan-3bldowA5_VIewBshdpkMM0Zqwd-454baaOE,회심의랜드러너,100,82,90,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",Jf54HNqqPxcGiKOZItOYAgfV0U8nUkcBHlffPqTG7Ip1
158,158,ba0a8d1a-09d3-476d-92ed-82a9aec47d7c,RANKED_SOLO_5x5,GOLD,I,6E7JVJlRGOZTUQjOpRBn-Kmc9kUa9vFSxrlsSMws-IL8z2A,남원양사장,100,16,16,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 1, 'progress': 'LNNNN'}",S2Eu25PTI-qwf6bmyGksjC_S1fG1gVWqUIsi3cvfSzz3
159,159,f0bbceb3-fe4a-403a-b6ed-bb44a68bac82,RANKED_SOLO_5x5,GOLD,I,HIDjeTsOKOdAmqrFuuRJMqJVHQ_ZJCNwc3Bxppw9_V2uiK8,도구따위,15,8,6,False,False,False,False,,FWFFEyMBgaJ9AZyY7CPahYUciknOfdMw-c98SqdisTdd
